Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Nicollet County, MN",300.0,0.0,0.0,0.0,300.0,MIS_MNWI
"East Baton Rouge Parish, LA",3.0,2.7,0.0,2.7,5.7,MIS_LA
"McCulloch County, TX",500.0,0.0,0.0,0.0,500.0,ERC_REST
"Leon County, FL",0.0,0.9,0.0,0.9,0.9,FRCC
"Genesee County, MI",0.0,1.28,0.0,1.28,1.28,MIS_LMI
"Moore County, TX",87.0,0.0,100.0,100.0,187.0,SPP_SPS
"Madison County, AL",5.0,262.0,100.0,362.0,367.0,S_C_TVA
"St. Tammany Parish, LA",0.0,1.0,0.0,1.0,1.0,MIS_AMSO
"Knox County, TN",0.0,86.0,0.0,86.0,86.0,S_C_TVA
"Williamson County, TN",0.0,27.7,0.0,27.7,27.7,S_C_TVA
"Louisa County, VA",750.0,0.0,70.0,70.0,820.0,PJM_Dom
"Providence County, RI",0.0,2.85,0.0,2.85,2.85,NENGREST
"Lane County, OR",0.0,1.0,0.0,1.0,1.0,WECC_PNW
"Morrow County, OR",0.0,877.0,300.0,1177.0,1177.0,WECC_PNW
"Anderson County, SC",0.0,18.0,0.0,18.0,18.0,S_VACA
"Dakota County, MN",2037.0,33.0,17.0,50.0,2087.0,MIS_MNWI
"St. Charles County, MO",0.0,5.0,0.0,5.0,5.0,MIS_MO
"Rankin County, MS",0.0,0.0,116.0,116.0,116.0,MIS_D_MS
"New York County, NY",0.0,163.28,12.0,175.28,175.28,NY_Z_J
"Snohomish County, WA",0.0,27.0,0.0,27.0,27.0,WECC_PNW
"Spokane County, WA",0.0,13.0,0.0,13.0,13.0,WECC_PNW
"Washoe County, NV",5.0,216.5,20.0,236.5,241.5,WECC_NNV
"Mahoning County, OH",0.0,0.45,0.0,0.45,0.45,PJM_ATSI
"Broomfield County, CO",0.0,29.1,0.0,29.1,29.1,WECC_CO
"Adams County, CO",170.0,33.5,0.0,33.5,203.5,WECC_CO
"Emanuel County, GA",0.0,8.0,0.0,8.0,8.0,S_SOU
"Indiana County, PA",4500.0,0.0,0.0,0.0,4500.0,PJM_PENE
"Cass County, MI",0.0,28.0,272.0,300.0,300.0,PJM_West
"Williams County, ND",460.0,300.0,565.0,865.0,1325.0,SPP_WAUE
"South Central Connecticut Planning Region, CT",0.0,0.25,0.0,0.25,0.25,NENG_CT
"St. Louis County, MO",0.0,15.8,5.0,20.8,20.8,MIS_MO
"Lackawanna County, PA",780.0,0.0,0.0,0.0,780.0,PJM_WMAC
"Milam County, TX",0.0,1263.0,179.0,1442.0,1442.0,ERC_REST
"Cook County, IL",2001.8,917.13,561.0,1478.13,3479.93,PJM_COMD
"Buncombe County, NC",0.0,0.98,0.0,0.98,0.98,S_VACA
"Passaic County, NJ",0.0,25.05,0.0,25.05,25.05,PJM_EMAC
"Rockland County, NY",24.0,84.0,0.0,84.0,108.0,NY_Z_G-I
"Cameron County, TX",60.0,0.7,60.0,60.7,120.7,ERC_REST
"Bedford County, TN",0.0,10.0,10.0,20.0,20.0,S_C_TVA
"Porter County, IN",50.0,0.0,0.0,0.0,50.0,MIS_INKY
"Oldham County, KY",600.0,0.0,0.0,0.0,600.0,PJM_West
"Monroe County, OH",695.0,0.0,0.0,0.0,695.0,PJM_West
"Tazewell County, IL",1000.0,0.0,0.0,0.0,1000.0,PJM_COMD
"Bowie County, TX",0.0,2.0,0.0,2.0,2.0,SPP_WEST
"Hendricks County, IN",400.0,0.0,0.0,0.0,400.0,MIS_INKY
"Monmouth County, NJ",0.0,10.6,0.0,10.6,10.6,PJM_EMAC
"Newton County, GA",550.0,210.0,0.0,210.0,760.0,S_SOU
"Pittsylvania County, VA",800.0,0.0,0.0,0.0,800.0,PJM_Dom
"Jefferson County, CO",0.0,1.09,0.0,1.09,1.09,WECC_CO
"Guadalupe County, TX",1200.0,0.0,0.0,0.0,1200.0,ERC_REST
"Montgomery County, TN",0.0,60.0,0.0,60.0,60.0,S_C_TVA
"Wagoner County, OK",80.0,0.0,0.0,0.0,80.0,SPP_WEST
"Middlesex County, MA",20.0,109.5,0.0,109.5,129.5,NENGREST
"Sherburne County, MN",600.0,15.0,0.0,15.0,615.0,MIS_MNWI
"Montgomery County, PA",0.0,25.2,0.0,25.2,25.2,PJM_EMAC
"Berks County, PA",0.0,7.0,0.0,7.0,7.0,PJM_WMAC
"Berkeley County, SC",230.0,310.0,0.0,310.0,540.0,S_VACA
"Reeves County, TX",0.0,207.0,79.0,286.0,286.0,ERC_WEST
"Westchester County, NY",0.0,9.1,0.0,9.1,9.1,NY_Z_G-I
"Covington city, VA",0.0,0.5,0.0,0.5,0.5,PJM_Dom
"Baltimore city, MD",0.0,59.5,0.0,59.5,59.5,PJM_SMAC
"Wood County, WI",0.0,0.0,20.0,20.0,20.0,MIS_WUMS
"Duval County, TX",50.0,0.0,50.0,50.0,100.0,ERC_REST
"Carver County, MN",181.0,13.8,0.0,13.8,194.8,MIS_MNWI
"Potter County, TX",0.0,0.6,0.0,0.6,0.6,SPP_SPS
"Washington County, WI",0.0,1.0,0.0,1.0,1.0,MIS_WUMS
"King George County, VA",900.0,0.0,0.0,0.0,900.0,PJM_Dom
"Anderson County, TN",12.0,4.0,0.0,4.0,16.0,S_C_TVA
"Rockdale County, GA",240.0,0.0,30.0,30.0,270.0,S_SOU
"Luzerne County, PA",940.0,98.0,122.0,220.0,1160.0,PJM_WMAC
"Dickey County, ND",300.0,206.0,0.0,206.0,506.0,MIS_MAPP
"Kenosha County, WI",160.0,0.0,0.0,0.0,160.0,MIS_WUMS
"Licking County, OH",1601.0,601.0,413.0,1014.0,2615.0,PJM_West
"Baylor County, TX",83.0,0.0,83.0,83.0,166.0,ERC_WEST
"Minnehaha County, SD",0.0,1.3,0.0,1.3,1.3,MIS_MNWI
"Ozaukee County, WI",3000.0,0.0,0.0,0.0,3000.0,MIS_WUMS
"DeKalb County, IL",360.0,260.0,60.0,320.0,680.0,PJM_COMD
"Marshall County, KY",0.0,150.0,0.0,150.0,150.0,S_C_TVA
"Kent County, MI",180.0,14.5,60.0,74.5,254.5,MIS_LMI
"Lubbock County, TX",0.0,0.7,0.0,0.7,0.7,SPP_SPS
"Navarro County, TX",400.0,400.0,200.0,600.0,1000.0,ERC_REST
"Middlesex County, NJ",32.0,183.93,12.0,195.93,227.93,PJM_EMAC
"St. Louis County, MN",0.0,1.3,0.0,1.3,1.3,MIS_MNWI
"Chesterfield County, VA",610.0,44.8,50.0,94.8,704.8,PJM_Dom
"Guilford County, NC",280.0,49.2,20.0,69.2,349.2,S_VACA
"Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,PJM_Dom
"Sedgwick County, KS",0.0,0.24,0.0,0.24,0.24,SPP_N
"Black Hawk County, IA",0.0,1.75,0.0,1.75,1.75,MIS_MIDA
"La Salle County, TX",130.0,0.0,70.0,70.0,200.0,ERC_REST
"Sherman County, TX",0.0,0.5,0.0,0.5,0.5,SPP_SPS
"Broward County, FL",0.0,6.65,0.0,6.65,6.65,FRCC
"Delaware County, OH",67.5,10.5,0.0,10.5,78.0,PJM_West
"Wise County, VA",35.0,10.0,0.0,10.0,45.0,PJM_West
"Upton County, TX",0.0,280.0,0.0,280.0,280.0,ERC_WEST
"Winkler County, TX",150.0,0.0,150.0,150.0,300.0,ERC_WEST
"Taylor County, TX",1000.0,0.0,1412.0,1412.0,2412.0,ERC_WEST
"Mitchell County, TX",700.0,0.0,100.0,100.0,800.0,ERC_WEST
"Oklahoma County, OK",7.0,17.9,0.0,17.9,24.9,SPP_WEST
"Walker County, TX",500.0,0.0,0.0,0.0,500.0,ERC_REST
"Oakland County, MI",4.0,18.8,0.0,18.8,22.8,MIS_LMI
"Beaver County, PA",0.0,120.0,0.0,120.0,120.0,PJM_ATSI
"Carbon County, PA",0.0,80.0,0.0,80.0,80.0,PJM_WMAC
"Hamilton County, IN",0.0,4.0,0.0,4.0,4.0,MIS_INKY
"Boone County, IA",0.0,10.4,0.0,10.4,10.4,MIS_MIDA
"Berrien County, MI",300.0,0.0,0.0,0.0,300.0,PJM_West
"Fairfield County, OH",800.0,75.0,0.0,75.0,875.0,PJM_West
"Clark County, OH",70.0,2.0,100.0,102.0,172.0,PJM_ATSI
"Santa Cruz County, AZ",0.0,0.04,0.0,0.04,0.04,WECC_AZ
"Caddo Parish, LA",0.0,0.9,0.0,0.9,0.9,SPP_WEST
"El Paso County, CO",75.0,53.45,0.0,53.45,128.45,WECC_CO
"Linn County, IA",400.0,2.31,60.0,62.31,462.31,MIS_IA
"Dane County, WI",0.0,7.75,0.0,7.75,7.75,MIS_WUMS
"Lauderdale County, MS",280.0,8.0,40.0,48.0,328.0,S_SOU
"Kendall County, IL",3103.0,0.0,40.0,40.0,3143.0,PJM_COMD
"Rice County, MN",120.0,0.0,0.0,0.0,120.0,MIS_MNWI
"Allen County, IN",300.0,0.0,0.0,0.0,300.0,PJM_West
"Adams County, NE",10.0,0.0,0.0,0.0,10.0,SPP_NEBR
"Ellis County, TX",780.0,366.0,285.0,651.0,1431.0,ERC_REST
"Grafton County, NH",0.0,0.4,0.0,0.4,0.4,NENGREST
"Chelan County, WA",0.0,33.0,180.0,213.0,213.0,WECC_PNW
"Buffalo County, NE",0.0,200.0,0.0,200.0,200.0,SPP_NEBR
"Dallas County, IA",1300.0,212.0,170.0,382.0,1682.0,MIS_IA
"McDonald County, MO",0.0,10.0,0.0,10.0,10.0,SPP_N
"Lee County, AL",8.0,4.0,16.0,20.0,28.0,S_SOU
"Douglas County, GA",1326.6,274.5,334.2,608.7,1935.3,S_SOU
"Union County, OH",140.0,250.0,80.0,330.0,470.0,PJM_ATSI
"Warren County, OH",0.0,13.7,0.0,13.7,13.7,PJM_West
"Carson County, TX",0.0,205.0,0.0,205.0,205.0,ERC_PHDL
"Glasscock County, TX",0.0,200.0,0.0,200.0,200.0,ERC_WEST
"Randall County, TX",0.0,40.4,0.0,40.4,40.4,ERC_PHDL
