Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
5353,8,224,2,5439.40700912611,8124.16283566428,11642.7925879436,16670.0761588627,18072.0031505317,2038.67460838812,7185.6004575874,6508.2475063636,22564.4346093003
5354,8,224,3,5744.59112515364,8713.54916099529,11686.61053384,17055.7215147642,18726.4310659789,2195.60573045076,7679.77099657904,6969.47693804946,24259.1102725408
5355,8,224,4,5947.32128694427,9074.33748584838,12234.5139190695,17391.528304919,19832.0605341894,2336.00064502531,8089.79767760663,7359.52120015593,25147.0400888614
5356,8,224,5,6205.9761448186,9395.16060109186,13021.180735838,17904.9939203621,21092.8477996891,2406.08429677475,8605.06226058452,7704.2640277939,25906.2159623801
5357,8,224,6,6553.52951548383,9723.82416942357,13846.7434604193,18616.0942921667,22436.2211099642,2534.84190107257,9177.83302416329,8107.51326299289,26717.5314107337
5358,8,224,7,6932.01096155258,10038.5869232788,14563.6371480172,19440.8533670802,23912.3841877094,2597.84458049883,9872.27870591243,8560.47097253819,27749.925459133
5359,8,224,8,7319.70880130298,10404.62069832,15283.8760193953,20314.0986183907,25317.2464351656,2730.69031285101,10513.1123448171,8956.70850671838,28637.8422555126
5360,8,224,9,7668.77078102181,10621.573872444,16080.0552015567,20937.3306236407,26705.1233935589,2803.93655459056,11159.5977741226,9318.36029222327,29351.4051631608
5361,8,224,10,7900.67875264495,10800.2348620281,16763.8934858376,21480.056231801,28004.4081501156,2862.00405840337,11711.7028700463,9605.42332317018,29803.1806144406
5362,8,224,11,7893.65455105602,10867.6883568261,17391.6280054886,21824.2295588281,28990.0800672125,2857.65089883365,12107.7090627934,9781.04066369105,30018.9679716832
5363,8,224,12,7891.507491246,10727.8128006609,17906.1368868397,22048.3557686045,29926.4402807003,2850.46419691919,12426.4856109232,9898.31826295167,30074.3407246761
5364,8,224,13,7926.81740047155,10633.0291066551,18212.578758447,22297.6622595289,30737.1624243976,2835.54186655337,12705.2440366953,9932.06178873792,30297.311193157
5365,8,224,14,7858.97433950503,10577.9425379348,18537.1158970965,22379.4924195804,31233.4305943993,2761.51950720323,12955.3997004674,9880.30282627228,30419.2875710198
5366,8,224,15,7783.95805428731,10490.2333468513,18741.600221141,22271.7573037933,30883.4294326833,2696.0138304547,12730.8367303111,9633.86575831795,30392.3223750848
5367,8,224,16,7609.67486215966,10425.4790314579,18650.0848678332,21900.6413178057,30157.9683079715,2658.08312249793,12493.3703990855,9363.00164173596,29975.0162101507
5368,8,224,17,7539.5694070419,10458.082757116,18140.5382298937,21634.0230203552,29744.4247526979,2668.20900898213,12334.1718925568,9212.4560707556,29849.2095916839
5369,8,224,18,7248.32355949886,10316.0724092128,17647.6764815756,21008.3610255763,28370.8836268479,2564.93228536918,11816.8941014274,8809.43763568481,29260.6161851979
5370,8,224,19,6759.96853903165,9726.29937103826,17416.8934885948,20081.4399145146,26301.1228119892,2404.94697001157,10924.208272217,8199.98852192173,27576.2954788993
5371,8,224,20,6333.16744437801,9038.47014506351,16689.6737952324,19185.9096879822,24197.6420422019,2238.57288930127,9972.63339315825,7648.79699319571,25755.4937413823
5372,8,224,21,6020.70402799032,8549.40254492467,15592.2506600324,18421.376464651,22241.2744031493,2123.10116163967,9113.60398750124,7138.34750035987,24395.6120704783
5373,8,224,22,5728.99436067429,8202.5145258481,14440.434393313,17901.8356494083,20649.7993159685,2033.16314153386,8407.54613032433,6781.69061802193,23245.091877086
5374,8,224,23,5560.08579481923,7958.37030907145,13412.2642731463,17494.8820921728,19531.0876293572,1982.15595916698,7943.11970701619,6537.16276367478,22477.0442257997
5375,8,224,24,5404.27845857384,7789.27380328805,12408.2566332596,17203.6372620865,18781.4325967695,1952.63015591842,7598.95721642321,6425.93152477261,22096.6086026538
5376,8,225,1,5407.61435192967,7791.33814548739,11871.9962094337,17127.9516429602,18416.0740042058,1979.7294662493,7562.2263889424,6390.37692481931,22265.4007847461
5377,8,225,2,5573.77502828458,8057.03075874029,11546.9047606579,17312.3611513556,18737.7754858244,2068.65377355949,7841.79091639322,6652.14756201922,23122.8544753905
5378,8,225,3,5886.1869904575,8689.16250061371,11568.5466579237,17655.5502927375,19349.6693882803,2176.63089046114,8290.76411446402,7123.20202297517,24755.3551329662
5379,8,225,4,6098.87553906246,9112.33777305662,12048.4482963492,18049.5714549642,20603.5076270719,2342.24608027683,8751.14318236576,7525.23004460484,25720.944828183
5380,8,225,5,6345.33546650094,9537.0996816127,12838.3830031949,18634.7826269168,22214.5151055009,2426.8397599533,9401.02362355323,7837.52734104783,26485.9697182613
5381,8,225,6,6607.29507647703,9912.49907637698,13443.0075697683,19381.7291877826,23851.6935547065,2496.54386968031,10120.4171186331,8150.3604915646,27241.3318430328
5382,8,225,7,6913.53901979708,10323.0644752083,13951.5756899795,20330.9891175853,25543.6032709621,2585.48155331568,10840.0263603281,8465.57941157019,28315.2123560949
5383,8,225,8,7156.20299527494,10622.3981639842,14414.429885102,21180.673780704,27055.4723525721,2634.21950865463,11520.7555838128,8855.85614168199,29028.7265875545
5384,8,225,9,7372.2511253536,10798.0439633601,15089.5935094361,21856.3473638372,28291.286210564,2702.36539210541,12045.8988453089,9204.76935605595,29884.5744579889
5385,8,225,10,7594.99796028905,10975.82607854,15579.8142315688,22339.0064383323,29433.7357436041,2757.93044227259,12442.2609692325,9618.15973175673,30491.2786496137
5386,8,225,11,7718.18065108746,10816.9107812162,16042.5550263329,22641.3103231072,30414.4849143954,2739.20795243998,12851.3132850214,9861.6324847416,30708.630467785
5387,8,225,12,7815.84263419133,10598.0040402519,16592.4060256325,22779.0422127995,31048.0740572176,2737.65838339023,13213.8859784529,9960.02201253161,30829.0536569789
5388,8,225,13,7788.4967263929,10532.8951461397,17126.3457121564,22643.5119828192,31627.0701401327,2706.39030985722,13303.0315505622,9898.26641832895,31127.9469179554
5389,8,225,14,7661.58112133262,10494.0038033469,17632.2442581689,22589.639340853,31774.9700977738,2652.15436572486,13087.5536279168,9581.86059184198,31108.7066651469
5390,8,225,15,7533.02551663432,10340.6357592085,17854.7945064512,22363.4034459448,31111.383769215,2564.991757308,12717.7342495352,9095.64112585753,30367.143420346
5391,8,225,16,7306.61827650174,10106.0311708064,17668.4954870004,21886.0838143678,30430.4859684794,2518.66827404703,12289.8414914588,8735.79051081295,29571.347574235
5392,8,225,17,7129.97020703076,10054.8426871247,17166.3516342333,21482.7565862768,30152.0833632171,2505.45154985881,11867.5166636453,8520.24089132047,29158.0707763318
5393,8,225,18,6980.88292266805,9875.91525095505,16536.5646069458,20981.152720299,28627.5484572626,2421.59816124669,11273.0062623859,8179.57713237625,28504.2434543441
5394,8,225,19,6553.97055035943,9283.09879061113,16282.1491989405,20191.0742787525,26659.0575307825,2282.65680588464,10481.1403747126,7680.06207709793,26972.8301004123
5395,8,225,20,6152.71771517415,8660.7029869911,15708.2455849259,19385.8159096205,24709.989470548,2124.85497100772,9659.3166731353,7107.32822421113,25273.999445845
5396,8,225,21,5761.82118858985,8113.35213491697,14790.7710343098,18719.2108939411,22821.0906307386,1998.00404385803,8877.3859926483,6679.13397066439,23671.2595507531
5397,8,225,22,5500.98491022792,7695.18161027646,13609.1006609627,18042.1680335372,21053.1966960942,1924.0271431472,8164.3220836566,6339.64246017598,22563.9064946631
5398,8,225,23,5394.99949806474,7396.93016786211,12762.7315896465,17604.5470066853,19922.1773839378,1873.6526671199,7710.23554193595,6125.60330102228,21742.0312177224
5399,8,225,24,5256.9453935911,7188.81528009232,12062.6876005696,17325.0605115724,19113.06170268,1844.16429016915,7329.52510861801,5994.0926474898,21196.2304522655
5400,8,226,1,5166.33469967098,7071.34299913409,11603.4657956496,17141.0466507637,18516.8301999758,1833.52258880773,7102.4329386316,5899.80199152876,21013.8390925379
5401,8,226,2,5213.60777979232,7143.51866177072,11296.049510725,17043.1127470553,18327.2045274247,1859.91668510567,7058.66756959041,6006.74204494297,21172.0796267857
5402,8,226,3,5321.30988618041,7300.55251978777,11176.5466935012,17101.8681928602,18346.3548107284,1916.98576413724,7152.06745107099,6191.46029798362,21602.9355475337
5403,8,226,4,5454.61556906267,7510.72057393859,11285.4673863547,17304.4470449251,18801.8538686575,1981.27865265156,7336.642643845,6475.83947075802,22087.5829636879
5404,8,226,5,5776.24294117106,7900.57212135394,11475.1950623552,17917.6133246873,19811.6771860999,2073.81293515328,7889.69119976292,6883.37107259637,23256.2795979979
5405,8,226,6,6075.66157389931,8339.28666402386,11948.1198376619,18625.7919003283,20896.1549024618,2179.72732624875,8563.24629523727,7281.09338045668,24617.1718583098
5406,8,226,7,6443.24789553178,8915.56979559157,12725.424990215,19388.9944270149,22332.3098773811,2244.93212064891,9322.43452023786,7673.0319726191,25866.2628630863
5407,8,226,8,6692.3074878839,9370.03723802934,13535.6524703476,20015.9444064904,24023.0644198262,2313.46158401123,9911.43496026447,7982.6280237853,27025.1183558591
5408,8,226,9,6916.34377802907,9730.66291567875,14242.86544256,20615.8564414541,25490.4145352876,2334.60630896738,10354.8432948737,8231.20328929375,28021.884788141
5409,8,226,10,7006.73309137553,10164.0722048182,14824.559929303,21037.7758108209,26418.0992035321,2346.02569922671,10763.3315584217,8373.17611653399,28638.1167338589
5410,8,226,11,7023.81871140977,10394.4554179024,15285.2284184978,21172.6379496814,27148.4131542787,2344.53926846004,10968.5962336993,8413.36759374925,29239.2511008801
5411,8,226,12,7086.40478416024,10640.3162426733,15638.4664028103,21222.4757864861,27910.7721951347,2348.95815804767,11034.8803515453,8363.5075704882,29700.2655246938
5412,8,226,13,7112.5791709525,10703.2029357117,15972.3825497692,21134.2520134157,28082.2821477152,2355.27137129046,11021.2622533176,8261.99288129333,30057.1291452692
5413,8,226,14,7059.13140478448,10592.8186071191,16212.1557038862,21054.32087389,27516.3373439631,2343.19798621289,10946.048762523,8133.08890850825,30057.983228395
5414,8,226,15,6966.7851383132,10254.3335234017,16256.4285960253,20676.9824912631,26480.9070880031,2274.11163065314,10751.6665316978,7926.84652286,29348.1684752544
5415,8,226,16,6780.57614544428,9772.00995222976,16049.4259542832,20238.7993442191,25734.1086058483,2217.68771443885,10521.3106288882,7721.7947772759,28384.4710287753
5416,8,226,17,6724.79258416969,9451.74256910559,15534.6498098359,19968.6036460268,25480.7854689089,2209.87520957058,10448.0118169795,7677.15486134675,27739.3744063393
5417,8,226,18,6532.15378069977,9213.55134675235,14944.4483402544,19611.0313591046,24532.7422891475,2140.03523083758,10120.762448516,7439.2360618812,27233.304255075
5418,8,226,19,6203.87251183255,8692.73424308857,14777.7282567338,18883.8353309582,23117.1250309025,2024.23128964649,9556.71788497907,6997.54712800473,25660.281085357
