Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Regulatory Status,Linked Generator ID_1,Linked Generator ID_2,Linked Generator ID_3,Linked Generator ID_4,Linked Generator ID_5,Linked Generator ID_6
Parlin Power Plant,50799_G_GEN4,50799,G,GEN4,3696.0,Combined Cycle,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,20.6,10070,1991,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,SCR,,,,,,,,,0.06723,0.06723,0.06723,0.06723,,,,,,,,,,,,"EFS Parlin Holdings, LLC",100.0,"EFS Parlin Holdings, LLC",100.0,Non-regulated,,,,,,
ITT Cogen Facility,52021_G_GEN1,52021,G,GEN1,,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,3.5,12804,1991,2024,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.16383,0.16383,0.16383,0.16383,,,,,,,,,,,,"ITT Energy Tech Partners, LLC",100.0,"ITT Energy Tech Partners, LLC",100.0,Non-regulated,,,,,,
ITT Cogen Facility,52021_G_GEN2,52021,G,GEN2,,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,3.5,12804,1991,2024,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.16383,0.16383,0.16383,0.16383,,,,,,,,,,,,"ITT Energy Tech Partners, LLC",100.0,"ITT Energy Tech Partners, LLC",100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN1,54766,G,GEN1,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11849,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,2.64,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN10,54766,G,GEN10,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN11,54766,G,GEN11,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN12,54766,G,GEN12,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN13,54766,G,GEN13,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN14,54766,G,GEN14,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN15,54766,G,GEN15,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
