Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,63,10313.79556,10832.2128,20150.72124,55455.93188,25499.21834,7489.146637,12256.58784,11194.50446,36593.25782
,,,,,,,,64,10401.41782,10905.21952,20613.4656,55841.45977,25834.93307,7488.885651,12524.55735,11204.41415,37301.75973
,,,,,,,,65,10358.48513,10815.42042,21076.28888,55924.08531,25811.62234,7426.291217,12540.85257,11098.50775,37180.72887
,,,,,,,,66,10237.2224,10632.86479,21043.79779,55901.36149,25540.35079,7375.607001,12532.75677,10948.60768,36698.85745
,,,,,,,,67,10088.38636,10230.41637,20860.35673,55620.6302,24831.26755,7303.406083,12208.75151,10648.73183,35949.88692
,,,,,,,,68,9798.702337,9934.28085,20635.50146,55225.6754,23804.3674,7197.926387,11724.06553,10222.55302,34869.73574
,,,,,,,,69,9624.077255,9552.606972,20277.68571,54909.19537,22782.90847,7122.10526,11237.09398,9872.045237,33892.11009
,,,,,,,,70,9485.651717,9241.074686,19834.39894,54738.9517,22184.49694,7056.884571,10934.83748,9703.640214,33219.7032
,,,,,,,,71,9382.631958,9122.109279,19216.71569,54584.96026,21357.92267,7031.959356,10681.15049,9590.149173,32880.5352
,,,,,,,,72,9357.610582,8966.285539,18793.1142,54495.88973,20928.6655,7021.697399,10536.04156,9583.773431,32683.24706
,,,,,,,,73,9284.641859,8922.3607,18444.69319,54495.01513,20692.65411,6995.899065,10470.97904,9641.179774,32738.26247
,,,,,,,,74,9354.336116,9052.49267,18180.4834,54677.00548,20813.26326,7029.596586,10603.93372,9771.789419,33081.07141
,,,,,,,,75,9569.163933,9328.124761,18159.13596,55023.12629,21519.33647,7151.64014,10994.61071,10194.76396,33995.11384
,,,,,,,,76,9910.110301,9789.755297,18311.31031,55415.00823,22821.30504,7338.01633,11673.80686,10860.96158,35512.41097
,,,,,,,,77,10120.3589,10228.65701,18896.9657,55683.46859,23539.44132,7427.383984,11862.06958,11205.16495,36495.84556
,,,,,,,,78,10071.98536,10291.18854,19835.40853,55393.62391,23317.27123,7426.892977,11644.75745,11139.64292,36740.38124
,,,,,,,,79,10066.59652,10387.57198,20324.12299,54763.14505,23005.36069,7431.035511,11373.77298,11080.78629,36829.81351
,,,,,,,,80,10043.44382,10471.12483,20342.91005,54163.26992,22728.45993,7429.753211,10870.89305,11093.93601,36927.25572
,,,,,,,,81,10011.77381,10532.78792,20372.17778,53674.23622,22601.44033,7412.351043,10550.29329,11011.01409,36764.62565
,,,,,,,,82,9954.977121,10528.76778,20337.47987,53283.85728,22305.60564,7400.328557,10455.66344,10943.80086,36567.17788
,,,,,,,,83,9852.27061,10548.20282,20246.57837,53064.38721,22088.6553,7384.505764,10633.29953,10929.22288,36332.05385
,,,,,,,,84,9829.034595,10469.90532,20185.59507,52960.97988,22331.06935,7347.867734,10625.80845,10861.36799,35945.34363
,,,,,,,,85,9801.275343,10414.43292,20180.50872,53119.65655,22774.78969,7302.666484,10784.90439,10774.89359,35728.31398
,,,,,,,,86,9836.478975,10444.0525,20123.07936,53435.24038,23741.20567,7312.727254,11128.75739,10944.04523,35924.97366
,,,,,,,,87,10052.89215,10724.04377,20175.68512,53957.69927,25099.33737,7390.803692,11665.38781,11259.6933,36713.93096
,,,,,,,,88,10040.5594,10890.15193,20714.13577,54094.80013,25367.29067,7429.451919,11677.94313,11129.03482,37065.64344
,,,,,,,,89,9953.415618,10790.18849,21536.90331,54023.38162,25242.9284,7390.681799,11561.14464,10978.08798,36654.20406
,,,,,,,,90,9834.097306,10608.00965,21570.08391,53760.00514,24782.56906,7352.684362,11274.39514,10683.92662,36136.34934
,,,,,,,,91,9530.323033,10296.23623,21490.65622,53329.40196,23819.74431,7261.535149,10829.62224,10280.52065,35216.0748
,,,,,,,,92,9239.086562,9819.158371,21246.20299,52805.44214,22427.20543,7128.378293,10174.0619,9798.760974,33854.80469
,,,,,,,,93,8961.642303,9431.341849,20723.813,52291.56494,20951.86213,7020.385928,9565.573086,9439.445743,32472.80708
,,,,,,,,94,8720.196332,9085.960054,19962.83181,51944.35318,19851.40236,6967.335672,9021.017722,9201.712634,31599.66635
,,,,,,,,95,8640.906573,8904.695203,19240.16631,51751.35796,19139.1405,6909.80842,8743.498803,9032.801725,31092.54289
,,,,,,,,96,8582.74167,8828.190677,18726.55186,51686.95304,18684.037,6885.244391,8656.229236,9001.062043,30757.18201
,,,,,,,,97,8621.168235,8773.478203,18376.83914,51721.01876,18504.66527,6886.230876,8708.476929,9016.203654,30675.76772
,,,,,,,,98,8661.164671,8903.04812,18161.38575,51969.12628,18652.60117,6914.846555,8933.096947,9198.634842,31095.92805
,,,,,,,,99,8930.353588,9221.916483,18137.27904,52452.68302,19405.86546,7018.471878,9412.491849,9621.781271,32296.81179
,,,,,,,,100,9241.8734,9806.915104,18357.03676,52913.66988,20634.70339,7202.358277,10076.5752,10300.98386,34185.47062
,,,,,,,,101,9490.738454,10262.05067,18939.5692,53398.78642,21421.93303,7288.641257,10399.61285,10603.56189,35307.35611
,,,,,,,,102,9414.540108,10222.19779,19906.71697,53194.71625,21355.36825,7249.901722,10325.03329,10507.51832,34994.27046
,,,,,,,,103,9281.115996,10197.32514,20404.8463,52587.80123,20685.58527,7276.808951,9791.754437,10220.56096,34657.08646
,,,,,,,,104,9185.720525,10287.36352,20419.01247,52104.37869,20094.95754,7269.594722,9495.259206,9953.030958,34419.61383
,,,,,,,,105,9101.775569,10276.51587,20476.82494,51821.25799,19716.04719,7242.360547,9342.563603,9712.636521,33963.26534
,,,,,,,,106,8960.787561,10154.12994,20482.39109,51590.61584,19415.35872,7202.914789,9167.069532,9561.332051,33500.18836
,,,,,,,,107,8866.459573,10155.69355,20370.42998,51363.50853,19377.93414,7180.995565,8930.414178,9477.695513,33011.49112
,,,,,,,,108,8743.549161,10008.18239,20260.8919,51179.82949,19473.42392,7145.81673,8841.189782,9305.526035,32399.8215
,,,,,,,,109,8715.987706,9994.89169,20236.83403,51268.48793,19978.16871,7114.168837,8980.638722,9290.681906,32014.23154
,,,,,,,,110,8879.79578,10054.18394,20220.28099,51592.5205,21025.43955,7124.536384,9386.784139,9531.829325,32384.7839
,,,,,,,,111,9271.535497,10438.32293,20332.21163,52364.51658,22717.05897,7275.862479,10118.65891,10065.38004,33753.53256
,,,,,,,,112,9463.804865,10722.94932,20892.7374,52879.08855,23352.0856,7320.665826,10498.87322,10168.505,34906.07677
,,,,,,,,113,9525.93492,10681.66721,21527.37889,53087.52048,23601.55277,7308.875262,10669.19689,10149.67996,34999.5289
,,,,,,,,114,9483.233515,10593.89732,21532.20256,53116.72481,23453.06516,7298.035223,10614.49977,10046.92492,34884.27476
,,,,,,,,115,9348.624199,10357.30773,21393.49971,52889.8626,22831.74429,7209.971572,10370.20854,9812.871599,34215.4158
,,,,,,,,116,9097.415401,9908.845107,21133.26512,52548.23983,21650.82412,7080.003428,9890.327621,9422.524483,33093.44109
,,,,,,,,117,8920.850083,9515.717647,20629.01711,52298.18405,20407.12771,6999.602396,9385.553704,9127.72032,31910.2807
,,,,,,,,118,8809.076659,9251.25835,19872.50858,52091.94383,19449.84498,7037.200993,8979.975517,8939.236093,30828.27496
,,,,,,,,119,8751.559113,9067.00699,19169.31544,52030.51207,18860.24131,7023.997359,8747.746656,8874.48677,30404.50332
,,,,,,,,120,8719.638251,8971.766046,18652.39575,51995.68103,18554.54547,7002.627377,8603.192183,8886.13854,30116.11459
,,,,,,,,121,8722.680127,8872.616979,18334.45107,52064.37012,18400.32599,7016.450514,8585.054844,8948.047983,30159.76913
,,,,,,,,122,8918.489005,8985.279537,18120.46616,52257.30485,18568.32304,7059.511428,8757.389254,9158.918215,30535.22225
,,,,,,,,123,9139.824749,9328.333388,18017.23536,52709.24719,19364.79481,7177.493955,9314.833197,9641.502168,31607.02184
,,,,,,,,124,9506.008413,9893.580083,18201.95204,53342.89211,20845.7561,7378.877361,10091.68618,10418.59053,33539.07886
,,,,,,,,125,9721.448179,10262.60319,18727.68318,53493.46661,21607.08763,7469.08443,10402.59674,10747.84054,34553.11236
,,,,,,,,126,9591.428032,10232.63009,19636.78857,53165.06782,21328.54816,7438.909777,10197.57493,10601.21832,34301.80731
,,,,,,,,127,9470.948731,10236.61465,20131.08511,52665.96091,20591.90754,7407.705278,9864.48044,10213.99236,33909.53524
,,,,,,,,128,9226.903495,10227.86578,20160.75184,52273.77628,19967.96353,7347.794619,9637.019648,9933.804004,33495.50576
,,,,,,,,129,9110.011194,10143.79578,20220.1626,51984.18616,19533.19235,7277.936106,9539.260684,9796.697542,32697.60104
,,,,,,,,130,8964.263946,10046.50795,20304.00582,51782.03553,19270.34339,7230.227799,9456.736942,9678.473104,32077.64561
,,,,,,,,131,8841.77611,9913.377605,20278.96234,51699.41475,19316.05082,7207.988458,9411.167454,9636.945466,31644.2862
,,,,,,,,132,8714.068513,9747.329126,20238.15665,51658.74352,19678.43248,7166.928381,9396.952578,9580.122602,31112.78161
,,,,,,,,133,8679.757737,9672.283893,20220.95232,51777.98794,20291.81187,7143.534146,9555.269715,9547.196183,30890.85292
,,,,,,,,134,8723.263195,9798.971224,20216.82107,52111.24071,21328.2573,7214.16709,9856.471842,9750.897413,31129.20656
,,,,,,,,135,9144.982493,10148.15615,20262.17556,52751.69576,22746.77211,7318.89941,10438.65405,10122.13912,32194.29229
,,,,,,,,136,9289.768448,10366.4363,20677.22574,53001.04454,23179.11725,7351.529456,10587.27287,10154.08148,32887.87396
,,,,,,,,137,9282.794657,10277.79587,21052.13995,53007.67238,23232.51966,7343.046757,10599.50676,10081.9644,32951.646
,,,,,,,,138,9258.419758,10188.17596,20925.78249,52909.8464,22909.92512,7283.551752,10421.84992,9908.991966,32643.80681
,,,,,,,,139,9029.79062,9861.903451,20716.43316,52579.75648,22057.66555,7209.408702,10078.27768,9559.22276,31821.92223
,,,,,,,,140,8761.915197,9336.312673,20384.49793,52070.31544,20726.137,7073.172507,9464.644128,9085.414342,30561.66011
,,,,,,,,141,8508.714403,8862.508495,19817.77171,51551.91297,19259.84862,6950.830943,8817.363797,8686.285207,29289.77142
,,,,,,,,142,8289.23602,8513.265672,19047.45667,51160.5322,18206.97735,6816.923827,8337.017757,8390.365014,28266.59021
,,,,,,,,143,8183.50523,8297.893645,18314.77602,50925.2097,17487.64295,6777.230594,8031.060662,8228.476978,27607.05601
,,,,,,,,144,8125.242639,8133.48762,17782.96987,50801.61398,17020.89659,6766.561378,7806.476398,8158.048221,27360.80761
,,,,,,,,145,8104.949301,8016.82913,17391.67836,50729.3897,16742.87187,6763.212959,7752.784043,8144.160512,27410.49066
,,,,,,,,146,8199.398874,8180.84155,17155.831,50909.29954,16874.96848,6788.16242,7890.006644,8280.81081,27696.81725
,,,,,,,,147,8444.023814,8449.97953,17072.52646,51349.41148,17535.04758,6911.72119,8299.891071,8716.960319,28722.08203
