Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
4275,6,179,4,5791.101638,9215.887544,10959.56721,13648.06344,1727.967022,6420.485669,5297.737607,3884.489499,2558.575492,252.4416091,2287.205295,4621.905837,4211.73007,2132.95636,5213.779657,15315.97817,2245.328829,1910.744098,3649.988642,1481.391947,60.91948988
4276,6,179,5,6212.506308,9857.892859,11652.48632,14332.9993,1882.839729,6995.935306,5772.558569,4232.645104,2787.893244,275.0672235,2426.622199,4974.637763,4533.15844,2308.250451,5642.266982,16338.03107,2395.162214,2038.250257,3893.556597,1580.246942,64.98471775
4277,6,179,6,6596.321843,10515.7124,12752.18887,15116.35412,2044.724773,7597.440194,6268.87851,4596.564524,3027.594061,298.717282,2556.47532,5342.035355,4867.950956,2457.215331,6006.395416,17388.50432,2549.162034,2169.301996,4143.897477,1681.85081,69.16298793
4278,6,179,7,6966.111304,11201.2489,13598.14251,15904.50361,2205.765513,8195.807958,6762.609915,4958.585937,3266.04473,322.2439946,2695.907774,5710.535337,5203.74803,2602.072873,6360.483912,18576.84299,2723.372981,2317.553127,4427.093404,1796.789295,73.88961946
4279,6,179,8,7361.502097,11734.54339,14278.05087,16573.98806,2343.08385,8706.032056,7183.611305,5267.279119,3469.369983,342.3050615,2784.743467,5997.559765,5465.300181,2721.250264,6651.800072,19611.51605,2875.056486,2446.633714,4673.6689,1896.864936,78.00504416
4280,6,179,9,7555.69538,12081.03659,14905.20397,17088.23503,2449.617046,9101.869968,7510.229181,5506.766954,3627.112127,357.8686753,2847.123991,6244.200481,5690.052514,2812.973897,6876.008508,20504.09894,3005.909512,2557.987847,4886.382535,1983.197333,81.55530347
4281,6,179,10,7715.022299,12272.29226,15368.86877,17434.65182,2536.42968,9424.433573,7776.386202,5701.922742,3755.654324,370.551279,2885.127635,6427.722498,5857.287682,2870.304099,7016.145948,20998.55873,3078.397525,2619.674154,5004.218471,2031.02247,83.52202333
4282,6,179,11,7782.755527,12203.92106,15805.08464,17629.44098,2598.18774,9653.903657,7965.728933,5840.755561,3847.09858,379.5736178,2848.501748,6601.482744,6015.627397,2883.949644,7049.500998,20883.85987,3061.582624,2605.364904,4976.884302,2019.928567,83.06580721
4283,6,179,12,7882.208609,12087.34099,16254.22758,17767.48513,2649.478759,9844.482094,8122.980986,5956.058356,3923.044442,387.0668092,2762.290196,6704.330005,6109.347372,2903.835921,7098.110836,20531.98833,3009.998109,2561.467188,4893.028926,1985.894851,81.66623389
4284,6,179,13,7928.748406,11787.64642,16644.27739,17894.26983,2700.448039,10033.86507,8279.246625,6070.637876,3998.513909,394.512997,2694.775971,6819.617277,6214.403357,2935.579079,7175.703531,20294.16436,2975.133015,2531.79747,4836.352507,1962.892042,80.72028614
